gene	BLCA	BRCA	CESC	CHOL
ALKBH1	-0.0038	-0.7052	-0.0459	-0.0646
ALKBH2	-0.0038	-0.7052	-0.0459	-0.0646
ALKBH3	-0.0038	-0.7052	-0.0459	-0.0646
ALKBH4	-0.0038	-0.7052	-0.0459	-0.0646
ALKBH5	-0.0038	-0.7052	-0.0459	-0.0646
ALKBH6	-0.0038	-0.7052	-0.0459	-0.0646
ALKBH7	-0.0038	-0.7052	-0.0459	-0.0646
ALKBH8	-0.0038	-0.7052	-0.0459	-0.0646
ALKBH9	-0.0038	-0.7052	-0.0459	-0.0646
ALKBH10	-0.0038	-0.7052	-0.0459	-0.0646
ALKBH11	-0.0038	-0.7052	-0.0459	-0.0646
ALKBH12	-0.0038	-0.7052	-0.0459	-0.0646
ALKBH13	-0.0038	-0.7052	-0.0459	-0.0646
ALKBH14	-0.0038	-0.7052	-0.0459	-0.0646
ALKBH15	-0.0038	-0.7052	-0.0459	-0.0646
ALKBH16	-0.0038	-0.7052	-0.0459	-0.0646
ALKBH17	-0.0038	-0.7052	-0.0459	-0.0646
ALKBH18	-0.0038	-0.7052	-0.0459	-0.0646
ALKBH19	-0.0038	-0.7052	-0.0459	-0.0646
ALKBH20	-0.0038	-0.7052	-0.0459	-0.0646
